date,rating,title_review,title_review_tokenized
2020-05-28 01:54:35,5,life saver paymaya has been a life saver during quarantine period i use it to pay bills i even earned a p100 cashback for it and send money to smes via instapay and to our relatives  in the province via smart  padala been using it for years now and i have not encountered a major issue,"['life', 'saver', 'life', 'saver', 'quarantine', 'period', 'use', 'pay', 'bill', 'even', 'earn', 'cashback', 'send', 'money', 'smes', 'via', 'instapay', 'relative', 'province', 'via', 'smart', 'padala', 'use', 'year', 'encounter', 'major', 'issue']"
2020-05-28 21:41:05,5,please fix as soon as possible please good day i made a transfer to smart money for amount php3050 in  26 may 2020 814 pm with transaction reference id 891011fff7aa  the money was taken from my paymaya but i never received the text message confirmation and they went to claim the money in smart money but the transaction does not exist can you please fix this as soon as possible thank you mia relampagos,"['fix', 'soon', 'possible', 'good', 'day', 'make', 'transfer', 'smart', 'money', 'amount', 'pm', 'transaction', 'reference', 'id', 'money', 'take', 'never', 'receive', 'text', 'message', 'confirmation', 'go', 'claim', 'money', 'smart', 'money', 'transaction', 'exist', 'fix', 'soon', 'possible', 'mia', 'relampagos']"
2020-05-29 04:02:18,5,great app this app is really helpful to pay online if you do not feel like using your credit card directly,"['great', 'really', 'helpful', 'pay', 'online', 'feel', 'like', 'use', 'credit', 'card', 'directly']"
2020-05-29 07:10:20,5,this is a very convenient app  if you want to go cashless very easy and convenient to use,"['convenient', 'want', 'go', 'cashless', 'easy', 'convenient', 'use']"
2020-06-01 12:36:32,5,bills payment cashback one thing na nagugustuhan ko sa paymaya is that meron silang pa cashback every 1000 bills na babayaran mo depende sa promo date yun ang wala sa other app na ginagamit ko so far sana huwag nilang iwala yun other than that same service lng naman sa other app 4 star,"['bill', 'payment', 'cashback', 'one', 'thing', 'nagugustuhan', 'meron', 'silang', 'cashback', 'every', 'bill', 'babayaran', 'mo', 'depende', 'promo', 'date', 'yun', 'wala', 'ginagamit', 'far', 'sana', 'iwala', 'yun', 'service', 'lng', 'star']"
2020-06-07 00:28:00,5,"great ecash app i think it is good i have used the visa card to purchase a software online and it worked even used it for online shopping it works seamless with my banking app and gcash so moving money is convenient i hope in the future they will not charge for doing that
what i also like is that you can now use this with your app store account","['great', 'ecash', 'think', 'good', 'use', 'visa', 'card', 'purchase', 'software', 'online', 'work', 'even', 'use', 'online', 'shopping', 'work', 'seamless', 'banking', 'move', 'money', 'convenient', 'hope', 'future', 'charge', 'also', 'like', 'use', 'store', 'account']"
2020-06-12 13:39:44,5,good app but worst customer care i have been contacting the customer care due to my issue using my credit card to cash in despite a number of follow up and emails every day sometimes more than twice a day no one from paymaya has contacted me back to help me resolve the issue if you do not want us to help us with our concerns better close the app i regret recommending your app to a number of friends and relatives ignoring my email messages for 5 days is not acceptable,"['good', 'bad', 'customer', 'care', 'contact', 'customer', 'care', 'due', 'issue', 'use', 'credit', 'card', 'cash', 'despite', 'number', 'follow', 'email', 'every', 'day', 'sometimes', 'twice', 'day', 'one', 'contact', 'back', 'help', 'resolve', 'issue', 'want', 'u', 'help', 'u', 'concern', 'well', 'close', 'regret', 'recommend', 'number', 'friend', 'relative', 'ignore', 'email', 'message', 'day', 'acceptable']"
2020-06-17 04:25:29,4,paymaya is great for business paymaya is great for business and also very convenient to use however with regards to eloading it would be better if we could just input the amount to load instead of choosing from the denominations in the system  which is not complete especially regular load hope you consider my suggestion thank you,"['great', 'business', 'great', 'business', 'also', 'convenient', 'use', 'however', 'regard', 'eloading', 'would', 'good', 'could', 'input', 'amount', 'load', 'instead', 'choose', 'denomination', 'system', 'complete', 'especially', 'regular', 'load', 'hope', 'consider', 'suggestion']"
2020-06-28 12:51:37,5,i can not create an account is there any problem,"['create', 'account', 'problem']"
2020-06-29 11:21:20,5,"barcode as a payment method hello paymaya dev could you please add barcode as a mode of payment to improve your service to us and make it less a work for us to pay using scan because barcode payment is much convenient 

thank you and take care ","['barcode', 'payment', 'method', 'hello', 'dev', 'could', 'add', 'barcode', 'mode', 'payment', 'improve', 'service', 'u', 'make', 'less', 'work', 'u', 'pay', 'use', 'scan', 'barcode', 'payment', 'much', 'convenient', 'take', 'care']"
